City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Ratangarh,IN,83.55,clear sky,28.0833,74.6,Hotel Shri Laxmi Palace
120,Arraial Do Cabo,BR,76.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,Scoop Guest House
129,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
135,Bodden Town,KY,80.6,scattered clouds,19.2833,-81.25,Will T Place
143,Luanda,AO,79.18,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
149,Salinopolis,BR,77.36,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
151,Sao Joao Da Barra,BR,78.15,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
152,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Manaure,CO,78.98,broken clouds,11.7751,-72.4445,Hotel Palaaima
162,Carnarvon,AU,84.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
164,Humberto De Campos,BR,75.58,moderate rain,-2.5983,-43.4611,Pousada do Cabeça
170,Bengkulu,ID,84.69,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
176,Sao Jose Da Coroa Grande,BR,77.31,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
179,Mormugao,IN,81.32,broken clouds,15.4,73.8,Coconut Creek Resort
183,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
186,Meulaboh,ID,83.48,scattered clouds,4.1363,96.1285,Kost Pria
191,Keffi,NG,77.54,few clouds,8.8486,7.8736,Imam Family
196,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
197,Port-Gentil,GA,81.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
200,Ormara,PK,80.1,clear sky,25.2088,64.6357,Kenara Colony house for Rent
205,Nizwa,OM,76.15,few clouds,22.9333,57.5333,Orient Apartments
207,Hobyo,SO,79.84,moderate rain,5.3505,48.5268,Iftin hotel hobyo
215,Lucea,JM,76.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
224,Nisia Floresta,BR,76.01,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
226,Bonthe,SL,76.84,few clouds,7.5264,-12.505,Bonthe Holiday Village
228,Tonj,SS,75.58,clear sky,7.2737,28.6822,Lakan Hotel
229,Dhidhdhoo,MV,80.92,clear sky,6.8833,73.1,Dhidhoo beach
231,Idah,NG,79.68,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
241,Sohbatpur,PK,86.02,clear sky,28.5202,68.5434,Allu Hotel
242,Thiruvananthapuram,IN,87.78,haze,8.4833,76.9167,Hotel Residency Tower
249,Victoria,HK,84.25,broken clouds,22.2855,114.1577,Mini Hotel Central
260,Dingle,PH,89.28,few clouds,10.9995,122.6711,SEGAYA PROPERTY
264,Muscat,OM,75.22,clear sky,23.6139,58.5922,Mutrah Hotel
273,Bembereke,BJ,77.83,broken clouds,10.2283,2.6634,Hotel Bio Guera
275,Funadhoo,MV,81.09,clear sky,6.15,73.2667,Dhaffalhu Tourist Lodge
278,Ambagarh Chauki,IN,89.49,overcast clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
279,Hambantota,LK,81.66,broken clouds,6.1241,81.1185,Bungalow 63
281,Zaraza,VE,77.22,overcast clouds,9.3503,-65.3245,Hotel Zaraza
285,Keti Bandar,PK,79.43,clear sky,24.1447,67.4497,Haji laloo memon house
286,Galle,LK,80.94,scattered clouds,6.0367,80.217,Amangalla
288,Totness,SR,77.02,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
289,Inhambane,MZ,75.43,moderate rain,-23.865,35.3833,Oceano
294,Hajipur,IN,82.38,haze,25.6833,85.2167,Sunderwati Niketan
298,Lodwar,KE,78.22,moderate rain,3.1191,35.5973,Solmar Gracious Hotel
300,Conceicao Da Barra,BR,75.04,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
303,Maracaibo,VE,81.7,few clouds,10.6317,-71.6406,Motel Aladdin
304,Sandy Bay,AU,78.26,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
