City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Esmeraldas,BR,2022-03-24 12:55:29,-19.7625,-44.3139,77.11,63,9,7.09
147,Jalu,LY,2022-03-24 12:51:26,29.0331,21.5482,63.32,36,57,12.5
148,Cayenne,GF,2022-03-24 12:55:27,4.9333,-52.3333,79.09,1,75,10.36
149,Siderno,IT,2022-03-24 12:55:30,38.2779,16.302,63.34,46,1,2.59
150,Beloha,MG,2022-03-24 12:55:30,-25.1667,45.05,86.56,49,13,14.16
151,Rocha,UY,2022-03-24 12:51:27,-34.4833,-54.3333,74.55,77,49,10.09
152,Ponta Delgada,PT,2022-03-24 12:55:11,37.7333,-25.6667,63.32,72,20,8.05
153,Rovaniemi,FI,2022-03-24 12:55:31,66.5,25.7167,33.21,43,0,6.91
154,Monrovia,LR,2022-03-24 12:45:37,6.3005,-10.7969,89.37,71,90,8.1
155,Emmaus,US,2022-03-24 12:55:31,40.5395,-75.4968,41.76,95,100,10.36
156,Tirano,IT,2022-03-24 12:55:31,46.2154,10.1679,70.32,31,0,1.07
157,Trujillo,PE,2022-03-24 12:55:32,-8.116,-79.03,64.36,94,75,3.44
158,Luderitz,NA,2022-03-24 12:55:32,-26.6481,15.1594,74.52,61,0,20.36
159,Boddam,GB,2022-03-24 12:46:16,57.4667,-1.7833,58.42,74,100,4.94
160,Berlevag,NO,2022-03-24 12:46:15,70.8578,29.0864,26.55,50,0,11.5
161,San Juan,AR,2022-03-24 12:55:32,-31.5375,-68.5364,56.86,25,0,6.71
162,Jibuti,DJ,2022-03-24 12:55:33,11.5,42.5,89.46,42,6,12.35
163,Yendi,GH,2022-03-24 12:55:33,9.4427,-0.0099,106.57,22,48,1.39
164,Dossor,KZ,2022-03-24 12:55:33,47.5272,52.9811,46.29,33,0,5.03
165,Nurota,UZ,2022-03-24 12:55:34,40.5614,65.6886,37.22,84,78,8.68
166,Axim,GH,2022-03-24 12:48:52,4.8699,-2.2405,85.01,70,100,8.7
167,Hobyo,SO,2022-03-24 12:55:34,5.3505,48.5268,83.66,68,0,13.87
168,Anloga,GH,2022-03-24 12:55:34,5.7947,0.8973,86.04,70,33,12.75
169,Harper,LR,2022-03-24 12:46:24,4.375,-7.7169,85.08,69,42,7.54
170,Pitkyaranta,RU,2022-03-24 12:55:35,61.5734,31.4792,36.37,99,100,6.6
171,Mayumba,GA,2022-03-24 12:55:35,-3.432,10.6554,84.06,75,15,9.19
172,Dikson,RU,2022-03-24 12:55:35,73.5069,80.5464,12.94,87,100,18.81
173,Tocopilla,CL,2022-03-24 12:55:35,-22.092,-70.1979,70.14,63,1,9.57
174,La Sarre,CA,2022-03-24 12:55:36,48.8002,-79.1996,29.71,96,100,11.95
175,Luena,AO,2022-03-24 12:55:36,-11.7833,19.9167,80.78,74,40,6.91
