City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Lambarene,GA,-0.7001,10.2406,76.06,95,100,1.68,overcast clouds
105,Port Hawkesbury,CA,45.6169,-61.3485,34.92,99,100,9.22,moderate rain
106,Rameshki,RU,57.3439,36.0453,38.43,90,100,11.79,overcast clouds
107,Agnibilekrou,CI,7.1344,-3.2047,73.27,95,100,2.13,overcast clouds
108,Raudeberg,NO,61.9875,5.1352,38.07,87,82,13.0,broken clouds
109,Ratangarh,IN,28.0833,74.6,83.55,10,0,6.87,clear sky
110,Chapais,CA,49.7834,-74.8492,31.78,97,100,6.67,light snow
111,Longyearbyen,SJ,78.2186,15.6401,1.24,71,20,5.75,few clouds
112,Shache,CN,38.4167,77.2406,49.71,43,3,4.18,clear sky
113,Saint-Joseph,RE,-21.3667,55.6167,73.78,80,14,6.73,few clouds
114,Walvis Bay,NA,-22.9575,14.5053,58.15,94,19,1.14,few clouds
115,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,100,40,33.08,scattered clouds
116,Southampton,GB,50.904,-1.4043,47.86,63,0,5.01,clear sky
117,Long Branch,US,40.3043,-73.9924,52.95,60,100,5.75,overcast clouds
118,Shambu,ET,9.5667,37.1,56.98,52,82,2.46,broken clouds
119,Rio Grande,BR,-32.035,-52.0986,58.95,69,56,16.82,broken clouds
120,Arraial Do Cabo,BR,-22.9661,-42.0278,76.8,91,79,23.09,broken clouds
121,Nioki,CD,-2.7167,17.6833,71.82,97,93,2.3,light rain
122,Laurinburg,US,34.7741,-79.4628,58.96,46,0,12.66,clear sky
123,Gloucester,GB,51.8657,-2.2431,47.48,72,0,3.0,clear sky
124,Cervo,ES,43.6702,-7.4101,52.45,90,97,4.99,overcast clouds
125,Melipilla,CL,-33.7,-71.2167,50.81,74,0,1.57,clear sky
126,Viedma,AR,-40.8135,-62.9967,58.42,76,52,8.41,broken clouds
127,Leh,IN,34.1667,77.5833,21.18,61,1,3.87,clear sky
128,Hithadhoo,MV,-0.6,73.0833,83.53,68,69,12.88,broken clouds
129,Padang,ID,-0.9492,100.3543,87.85,58,32,3.56,scattered clouds
130,Vytegra,RU,61.0064,36.4481,35.24,98,100,11.01,light snow
131,Adrar,MR,20.5022,-10.0711,63.88,30,3,9.44,clear sky
132,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.76,93,100,28.77,overcast clouds
133,High Rock,BS,26.6208,-78.2833,66.22,52,83,7.52,broken clouds
134,Saquena,PE,-4.6667,-73.5167,74.08,99,100,2.33,overcast clouds
135,Bodden Town,KY,19.2833,-81.25,80.6,75,40,2.3,scattered clouds
136,Iqaluit,CA,63.7506,-68.5145,22.73,85,100,21.0,overcast clouds
137,Korla,CN,41.7597,86.1469,46.6,49,1,8.72,clear sky
138,Klaksvik,FO,62.2266,-6.589,41.92,97,100,17.47,overcast clouds
